Timestamp,X,Y,Z
16.673,-0.59376204,1.3503298,8.00621
16.693,-0.47884035,1.4556746,7.067683
16.714,-0.9672575,1.733402,6.5026517
16.734,-1.1013328,1.7717092,6.493075
16.755,-1.2449849,1.9632454,6.167464
16.776,-1.091756,2.0685902,6.1866174
16.796,-1.3503298,2.336741,6.157887
16.817,-1.2066777,2.2984335,7.3645644
16.838,-0.79487497,1.9536686,9.461885
16.858,-0.2873042,1.8195933,10.94629
16.879,-0.4213795,1.8770541,11.061212
16.899,-0.47884035,1.7429788
16.92,-0.5650316,1.5035586,12.5264635
16.94,-1.2162545,1.6472107,13.215993
16.961,-1.6759412,2.1643584,12.641385
16.981,-0.1436521,2.2697031,10.496181
17.002,0.30645782,2.2026656,9.921572
17.023,0.41180268,1.2449849,11.33894
17.043,-0.7565677,0.93852705,13.857639
17.064,-1.2258313,0.79487497,13.962984
17.084,-0.7086837,1.5035586,10.007763
17.105,-0.12449849,1.7525556,7.690176
17.126,0.20111294,1.5705963,7.335834
17.147,0.19153613,1.3120226,9.040505
17.168,-0.076614454,1.388637,9.203311
17.189,-0.29688102,1.5131354,8.599973
17.21,-0.33518824,1.8100165,7.1251445
17.231,-0.4309563,2.1068976,5.7269306
17.252,-0.59376204,2.2697031,5.3247046
17.272,-0.89064306,2.4133554,5.889736
17.293,-0.61291564,2.3080103,6.8186865
17.315,-0.36391866,2.2697031,7.3071036
17.336,-0.6512229,2.4612393,9.155427
17.356,-0.7469909,2.4420857,10.103531
17.377,-0.6607997,2.3463178,11.271901
17.398,-0.80445176,2.5187001,13.254301
17.419,-1.1300632,2.27928,13.924677
17.439,-1.9153614,2.9783869,12.5743475
17.46,-1.4460979,4.012682,11.089942
17.48,-0.038307227,3.8019924,10.084377
17.5,0.06703765,3.0071173,11.559206
17.521,-0.22026655,2.384625,13.857639
17.541,-0.6991069,2.3558946,13.464991
17.562,-0.7278373,2.930503,9.528923
17.582,-0.51714754,2.9017725,7.747637
17.602,-0.33518824,2.336741,7.824251
17.623,-0.7182605,1.6567876,8.63828
17.643,-1.043872,1.4269443,8.829816
17.664,-0.9959879,1.283292,8.494628
17.684,-0.7086837,1.3982137,7.785944
17.704,-0.60333884,1.541866,7.4028716
17.725,-0.9959879,1.7812861,7.019799
17.745,-1.2737153,1.934515,6.5984197
17.766,-1.388637,2.2026656,6.5984197
17.786,-1.2737153,2.4612393,6.7803793
17.807,-1.0821792,2.4037786,7.249643
17.827,-1.2354081,2.1068976,8.408437
17.847,-1.3790601,1.934515,10.0269165
17.868,-1.4748282,1.8195933,10.6877165
17.888,-1.5993267,1.532289,11.195287
17.909,-1.6089035,1.3311762,11.664551
17.929,-2.030283,0.8331822,13.177686
17.952,-2.566584,1.1587936,13.206416
17.972,-2.6048915,1.6376339,11.87524
17.993,-0.8810662,1.5993267,9.844957
18.014,-0.2873042,0.78529817,11.070788
18.034,-0.34476504,0.6991069,11.176133
18.055,-2.183512,0.6512229,13.340492
18.075,-2.087744,1.1013328,11.195287
18.096,-1.8387469,1.2737153,10.160992
18.117,-0.51714754,1.6567876,7.5465236
18.137,-0.45010993,1.3599066,8.312668
18.158,-0.36391866,1.2066777,8.858546
18.179,-0.16280572,1.5131354,8.236053
18.199,-0.29688102,1.7238252,7.4124484
18.22,-0.8331822,1.8483237,6.655881
18.24,-1.0821792,2.0973208,6.1004257
18.261,-0.8619126,2.4229321,5.602432
18.281,-0.80445176,2.4612393,5.6407394
18.302,-0.7374141
18.323,-0.6703765,2.4516625,8.255207
18.344,-0.62249243,2.3654714,8.791509
18.365,-0.7086837,2.1164744,11.176133
18.385,-1.043872,2.1452048,11.683704
18.406,-1.5705963,2.0685902,12.354081
18.427,-1.9249382,2.0590134,12.947843
18.447,-2.231396,2.2697031,12.890382
18.468,-2.1930888,3.2944214,11.042058
18.489,-0.7278373,2.27928,11.425131
18.509,-0.6991069,1.8483237,12.229582
18.53,-1.5897499,0.9959879,14.480132
18.551,-1.7621324,1.5610195,12.172121
18.572,-1.4460979,2.183512,9.279925
18.592,-0.9672575,2.528277,7.2209125
18.613,-0.51714754,1.8962077,8.331821
18.634,-0.62249243,1.541866,8.992621
18.655,-0.6991069,1.2354081,9.289502
18.675,-0.49799395,1.2641385,9.136273
18.696,-0.4213795,1.3311762,8.90643
18.717
18.737
18.758,-1.1971009,2.0973208,6.7229185
18.779,-1.532289,2.384625,5.9663506
18.799,-1.3982137,2.4516625,6.0525417
18.82,-1.3982137,2.27928,7.28795
18.84,-1.5705963,2.0685902,9.059659
18.861,-1.5705963,1.934515,9.576807
18.882,-1.043872,1.4173675,11.099519
18.902,-1.3790601,1.5705963,11.473015
18.923,-1.9536686,1.13964,12.440272
18.944,-2.1260512,1.3694834,12.794614
18.964,-2.2026656
18.985,-1.8770541,1.685518,11.482592
19.006,-0.50757074,1.2066777,11.310209
19.026,-0.38307226,1.1204864,11.511322
19.047,-1.3790601,0.47884035,13.168109
19.068,-1.7717092,0.9576807,11.722012
19.088,-1.6759412,1.2162545,10.630256
19.109,-0.61291564,1.4173675,8.446744
19.13,-0.076614454,1.3503298,8.580819
19.15,0.15322891,1.2354081,9.107543
19.171,0.22984336,1.3311762,9.174581
19.191,0.15322891,1.6184803,8.437167
19.212,0.15322891,1.6184803,8.437167
19.233,-0.49799395,1.9536686,6.2728086
19.253
19.274,-0.47884035,2.4995465,4.7405195
19.295,-0.5363012,2.5953147,5.659893
19.315,-0.31603462,2.6910827,6.493075
19.336,-0.17238252,2.6719291,7.9487495
19.357,-0.6703765,2.7006595,9.519346
19.378,-0.7182605,2.5953147,10.6398325
19.398,-0.94810385,2.6048915,11.291056
19.419,-1.3024458,2.5378537,12.258312
19.44,-1.4652514,2.5187001,12.813767
19.461,-2.4516625,3.4284968,11.769896
19.481,-1.532289,3.3518825,11.070788
19.502,-0.9672575,2.7581203,11.750742
19.523,-1.1683705,1.4269443,15.045163
19.543,-2.0111294,1.3311762,14.767436
19.564,-1.8100165,2.183512,11.262324
19.585,-1.3694834,2.5570073,8.628703
19.606,-1.2066777,2.6623523,7.824251
19.626,-0.78529817,2.1164744,7.699753
19.647,-0.7182605,1.685518,8.66701
19.668,-0.6991069,1.4939818,8.8777
19.688,-0.37349546,1.5610195,8.274361
19.709,-0.37349546,1.6950948,7.5944076
19.729,-0.5363012,1.8004397,7.2687964
19.75,-1.1587936,2.0494366,6.3206925
19.771,-1.3599066,2.2697031,5.554548
19.791,-1.4652514,2.5570073,4.9799395
19.813,-1.2737153,2.6431987,5.315128
19.833,-1.0534488,2.2984335,7.6614456
19.854,-1.2545617,2.1643584,9.212888
19.874,-1.283292,1.8962077,10.151415
19.895,-1.4748282,2.1164744,10.247183
19.916,-1.3599066,1.7717092,10.783484
19.936,-1.2737153,1.283292,12.0571995
19.956,-1.8100165,1.2066777,13.311762
19.977,-1.9249382,1.1971009,13.656527
19.997,-0.9576807,1.2545617,12.306197
20.018,0.38307226,0.5363012,11.884817
20.039,-0.16280572,-0.21068975,13.637373
20.059,-0.34476504
20.08,-1.7812861,0.29688102,12.660539
20.1,-1.541866,0.5267244,11.616667
20.12,-0.12449849,1.340753,7.699753
20.141,0.35434186,1.1875241,7.967903
20.162,0.40222588,1.1779473,8.7053175
20.183,0.18195933,1.0534488,9.730036
20.203,0.047884032,1.3215994,8.599973
20.224,-0.095768064,1.6663644,6.9719152
20.244,-0.60333884,1.9249382,5.803545
20.265,-0.90021986,2.183512,5.305551
20.286,-0.92895025,2.2409728,5.142745
20.306,-0.7661445,2.528277,5.3342814
20.327,-0.78529817,2.566584,7.2783732
20.348,-0.8523358,2.528277,8.0445175
20.368,-0.7757214,2.4229321,9.653421
20.389,-0.9959879,2.4420857,10.189722
20.41,-1.1492168,2.2984335,10.754754
20.43,-1.532289,2.1739352,12.105083
20.451,-1.8195933,2.030283,13.091495
20.472,-1.8483237,2.0207062,13.158532
20.492,-1.8579005,2.9400797,12.593501
20.513,-1.0055647,3.7732618,9.385271
20.534,-0.50757074,3.8115692,8.331821
20.555,-1.0630256,2.6910827,10.553641
20.575,-2.5187001,2.384625,12.74673
20.596,-2.6719291,2.6144683,11.693281
20.616,-1.283292,2.9592333,8.676587
20.637,-0.46926352,2.5761611,7.824251
20.658,-0.19153613,2.087744,8.236053
20.679,-0.4213795,1.2545617,9.844957
20.699,-0.9576807,1.4939818,9.883265
20.72,-0.7661445,1.6184803,8.647857
20.74,-0.2777274,1.8291701,7.0102224
20.762,-0.17238252,2.1068976,5.93762
20.782,-0.37349546,2.1930888,5.861006
20.803,-1.1109096,2.2026656,6.6175733
20.823,-1.3599066,2.336741,6.14831
20.844,-1.2354081,2.336741,6.090849
20.865,-1.0726024,2.2409728,7.1634517
20.885,-1.4556746,1.9632454,8.676587
20.906,-1.436521,1.6663644,10.151415
20.926,-1.0151415,1.2258313,12.172121
20.947,-0.9864111,0.91937345,13.685257
20.968,-1.0630256,0.90979666,13.924677
20.988,-1.733402,1.8483237,13.426683
21.009,-0.36391866,2.1068976,12.028469
21.029,1.1013328,1.4460979,13.101071
21.049,0.45010993
21.07,-1.0151415,0.5363012,16.280571
21.09,-2.030283,1.484405,14.106636
21.111,-1.4173675,2.2122424,10.534488
21.131,-0.33518824,2.566584,7.7572136
21.151,0.24899697,2.4612393,7.038953
21.172,0.48841715,2.336741,7.0102224
21.192,0.61291564,2.2984335,7.1347213
21.213,0.19153613,2.2218192,7.699753
21.233,-0.095768064,2.1930888,7.3071036
21.253,-0.4213795,2.2122424,6.3206925
21.274,-0.5554548,2.2409728,5.8322754
21.294,-0.9672575,2.27928,5.410896
21.315,-1.0726024,2.384625,5.410896
21.335,-0.8619126,2.480393,5.631162
21.355,-0.7374141,2.8921957,6.703765
21.376,-0.9959879,2.8921957,8.034941
21.396,-0.9959879,2.8538885,9.959879
21.416,-1.091756,2.873042,11.57836
21.437,-1.1779473,2.6719291,12.852075
21.457,-2.6144683,2.825158,13.215993
21.478,-3.2848446,3.5625722,11.903971
21.498,-2.0590134,3.7062242,11.33894
21.519,-0.46926352,2.3463178,12.938266
21.539,-0.34476504,1.7238252,14.528016
21.56,-1.7429788,1.484405,15.916653
21.58,-1.8770541,2.2122424,12.765883
21.6,-1.2641385,2.585738,9.251195
21.621,-0.6703765,2.6048915,7.642292
21.641,-0.5267244,2.135628,7.5848308
21.662,-0.7661445,1.5993267,9.433155
21.682,-0.90979666,1.7046716,9.662998
21.703,-0.7565677,1.8866309,8.619126
21.723,-0.5650316,1.9440918,6.6846113
21.743,-0.7757214,2.078167,6.081272
21.764,-1.0534488,2.0111294,5.9184666
21.784,-1.3215994,2.087744,5.401319
21.805,-1.292869,2.1547816,5.094861
21.825,-1.2162545,2.3558946,5.7269306
21.845,-1.292869,2.3654714,7.07726
21.866,-1.2545617,2.2505496,8.485051
21.886,-0.94810385,1.8962077,10.275913
21.907,-1.2449849,1.7429788,11.654974
21.928,-1.4939818,1.6376339,12.028469
21.948,-1.8387469,0.82360536,13.101071
21.969,-1.7717092,0.8523358,13.101071
21.989
22.01,-1.3024458,1.7717092,11.300632
22.03,0.047884032,1.5801731,10.630256
22.051,-0.1340753,0.6703765,11.923124
22.072,,,
22.092,-1.9728222,0.7661445,13.474567
22.113,-1.9440918,0.8331822,13.330915
22.133,-0.6607997,1.6567876,9.394848
22.154,0.17238252,1.532289,8.494628
22.174,0.46926352,1.5610195,8.264784
22.195,0.81402856,1.6376339,8.015787
22.216,0.4405331,1.7621324,7.5561004
22.236,0.1436521,1.8100165,7.07726
22.257,-0.545878,1.982399,6.6654577
22.277,-1.0342951,2.030283,6.5026517
22.298,-1.0342951,2.030283,6.1866174
22.319,-0.8714894,2.2218192,5.650316
22.34,-0.80445176,2.327164,6.483498
22.36,-1.2449849,2.183512,8.992621
22.381,-1.6472107,2.0685902,10.486604
22.402,-1.4939818,2.078167,11.271901
22.422,-1.7812861,2.4708161,10.582372
22.443,-2.183512,2.5761611,10.793061
22.464,-2.4133554,2.7581203,11.271901
22.484,-2.9400797,3.620033,11.147403
22.505,-1.982399,3.466804,11.57836
22.525,-0.90979666,2.566584,12.248735
22.546,-1.2545617,2.0015526,13.838486
22.566,-1.934515,1.532289,14.700398
22.587,-2.27928,1.5993267,13.809755
22.607,-2.1164744,2.6431987,8.829816
22.628,-1.532289,2.815581,7.201759
22.649,-0.8523358,2.5187001,7.0485296
22.67,-0.33518824,1.6089035,8.542512
22.69,-0.36391866,1.3120226,9.11712
22.711,-0.5363012,1.3311762,8.781932
22.732,-0.49799395,1.4173675,7.9104424
22.753,-0.5267244,1.6567876,6.9144545
22.773,-0.5363012,1.7142484,6.7324953
22.794,-1.1300632,2.3750482,6.1195793
22.814,-1.2162545,2.528277,5.851429
22.835,-1.13964,2.834735,5.6790466
22.856,-0.7757214,2.719813,6.799533
22.877,-0.8619126,2.4612393,8.647857
22.898,-1.043872,1.9728222,10.783484
22.919,-0.92895025,1.6089035,11.712435
22.94,-0.8523358,1.5801731,11.626244
22.96,-1.2066777,1.2354081,12.354081
22.981,-2.0590134,1.4173675,12.947843
23.001,-2.3750482,1.8866309,12.344504
23.022,-2.135628,1.9632454,11.942278
23.043,0.7469909,1.685518,10.783484
23.064,0.32561144,0.8523358,12.066776
23.085,-0.61291564,0.8331822,12.976573
23.106,-1.541866,1.4077905,11.789049
23.126,-0.78529817,1.6759412,9.710882
23.147,-0.1436521,1.7238252,8.121132
23.167,0.40222588,1.1971009,8.992621
23.188,0.19153613,1.0821792,10.323798
23.209,0.0,1.1779473,9.80665
23.23,-0.34476504,1.6280571,7.795521
23.25,-0.6607997,1.8962077,6.6079965
23.271,-1.1300632,2.3080103,5.1810527
